Symbol,logFC,logCPM,PValue,FDR
LanA,1.605241,4.966456608,6.66E-09,1.78E-07
eyg,-1.229544957,5.851557011,7.11E-09,1.89E-07
CR44850,-2.447123653,1.776498719,7.18E-09,1.90E-07
CG11200,1.122779258,6.678893761,7.30E-09,1.93E-07
CR44317,-2.261770361,3.751050957,7.60E-09,2.00E-07
CG10185,1.059623877,9.550174331,7.77E-09,2.04E-07
CG6409,1.00873232,14.34782844,8.02E-09,2.10E-07
CG31199,1.110919651,7.741641309,8.29E-09,2.17E-07
CG43324,-1.527085876,5.171521411,9.97E-09,2.60E-07
CrzR,1.230226289,6.181452988,1.03E-08,2.68E-07
CG18467,2.519468804,0.429278579,1.06E-08,2.75E-07
CG11407,-1.193047995,9.439599452,1.11E-08,2.86E-07
CG5835,1.123283542,6.479496336,1.15E-08,2.96E-07
CG9689,1.979442236,3.612614118,1.15E-08,2.97E-07
aurB,6.493437914,2.704908441,1.20E-08,3.07E-07
CR45835,2.433240055,0.626022748,1.21E-08,3.11E-07
CG34445,1.980616284,2.356838842,1.24E-08,3.17E-07
CG10650,-1.94424953,3.660180492,1.26E-08,3.19E-07
antdh,-1.001023024,11.94602728,1.28E-08,3.25E-07
CG34136,1.362596054,5.566649811,1.32E-08,3.33E-07
CG15414,2.16783306,2.893034347,1.38E-08,3.48E-07
CG9413,-0.988515741,7.613619057,1.43E-08,3.60E-07
hgo,1.658825661,6.004499901,1.48E-08,3.71E-07
CR43856,-2.052943558,1.879311733,1.48E-08,3.71E-07
blanks,-2.11602141,1.954363717,1.61E-08,4.02E-07
SPARC,0.971968042,7.930853182,1.66E-08,4.13E-07
Cyp4e2,-1.123846426,9.709353137,1.66E-08,4.13E-07
CG13606,-1.943385373,2.960207348,1.69E-08,4.18E-07
Cyp6a17,-1.299877058,6.102330729,1.71E-08,4.22E-07
CG32668,-1.147381596,6.016757661,1.77E-08,4.36E-07
CG3940,1.05159034,6.866707644,1.78E-08,4.37E-07
CR43086,2.370631866,2.223084629,1.83E-08,4.48E-07
ASPP,-0.990096255,7.342839054,1.91E-08,4.66E-07
Hr83,2.860834518,0.769192228,2.13E-08,5.18E-07
Idgf4,0.947128721,11.30002676,2.20E-08,5.36E-07
CG1143,1.165860073,6.25339335,2.39E-08,5.79E-07
bnb,1.06876743,7.18256383,2.46E-08,5.96E-07
CG17386,1.097710222,6.456835272,2.54E-08,6.13E-07
CG11000,-1.776859567,4.33160514,2.56E-08,6.16E-07
CR45955,2.066169415,1.949194159,2.65E-08,6.37E-07
CR44646,2.835357539,-0.157339596,2.75E-08,6.59E-07
Obp57b,1.091765571,7.357064191,2.87E-08,6.85E-07
CG13250,-2.47946575,0.477416894,2.97E-08,7.09E-07
CG43646,-1.797023864,4.128284605,3.03E-08,7.21E-07
CG4000,1.275616295,6.556887756,3.06E-08,7.27E-07
CG18234,-2.475802927,0.41885707,3.17E-08,7.50E-07
E5,1.345659734,5.24782693,3.20E-08,7.56E-07
CG8909,-1.967082557,2.639329393,3.49E-08,8.20E-07
CG9649,1.22760033,6.215104448,3.60E-08,8.44E-07
Lsd-1,-1.723789328,4.544829613,3.68E-08,8.63E-07
CG11841,1.380311346,5.171372687,3.88E-08,9.08E-07
Sox15,-1.088420202,6.204897126,4.01E-08,9.33E-07
CG4570,8.029744432,4.385242473,4.01E-08,9.33E-07
CR46218,-2.115604586,2.831716147,4.10E-08,9.50E-07
Obp44a,1.083340156,6.562670137,4.11E-08,9.50E-07
CG4409,-2.610063792,0.186629534,4.24E-08,9.79E-07
CG5945,0.90567864,10.86363499,4.36E-08,1.00E-06
CCKLR-17D1,-1.027342564,7.822440809,4.37E-08,1.00E-06
Cyp313a1,0.91632994,10.02681064,4.51E-08,1.03E-06
CG4927,2.320733109,1.022942866,4.58E-08,1.05E-06
TwdlT,2.074437767,1.834133954,4.64E-08,1.06E-06
Tsp,1.485610455,5.172990197,4.68E-08,1.06E-06
BBS8,-1.129958628,6.066073796,4.68E-08,1.06E-06
tRNA:Leu-AAG-1-4,1.987857002,1.745169728,4.79E-08,1.08E-06
CG31200,0.95973588,8.116520408,4.80E-08,1.08E-06
Kif3C,-1.592680084,4.624749413,4.88E-08,1.10E-06
miple2,1.859734933,2.919636291,6.26E-08,1.41E-06
lin-28,-2.852510668,-0.243952745,6.29E-08,1.41E-06
CG15209,1.448312583,4.878741824,6.80E-08,1.52E-06
CG10237,-0.961605935,10.33639391,7.25E-08,1.62E-06
CR46254,2.522166289,0.224831237,7.82E-08,1.74E-06
CR46136,-1.957562391,2.007563026,8.40E-08,1.87E-06
CG6357,0.922185046,9.260593807,8.50E-08,1.88E-06
PsGEF,-1.001375976,7.059758117,8.93E-08,1.97E-06
CG46025,1.090019046,6.038592078,8.95E-08,1.97E-06
CG32547,-1.410303504,5.002958311,8.96E-08,1.97E-06
CG30424,2.544054559,0.596074038,9.49E-08,2.08E-06
CG42821,1.922411642,5.305566331,9.53E-08,2.08E-06
CG15096,-1.145594791,6.015253809,9.54E-08,2.08E-06
CG8303,1.182804209,6.970390751,9.56E-08,2.08E-06
CG17778,-1.0105905,6.695485559,9.75E-08,2.12E-06
Obp83cd,-2.070409468,1.723219348,9.77E-08,2.12E-06
