symbol,PN_36h_rep1,PN_36h_rep2,PN_36h_rep3,PN_adult_rep1,PN_adult_rep2,PN_adult_rep3
hook,5.505039249,5.514984684,5.608482436,6.308106148,6.365085474,6.363976228
Hmr,3.397495653,3.83086628,3.889011294,3.064635825,2.622462659,3.095740735
Hn,2.210651584,1.341607518,1.605362592,1.111464636,1.246975234,0.288421873
Hrb98DE,9.67465987,9.225889204,9.170529265,8.172710913,8.134098396,8.274699268
Hsc70-1,0.743632778,0,0.569299184,0.066775902,0,0
Hsc70-2,0,0,0,0.099039483,0,0
Hsc70-3,10.70816408,10.38790519,10.28524828,8.085197871,8.095017369,8.221258575
Hsc70-5,8.121336483,7.906422188,7.753247532,7.918371586,8.073111872,8.166996711
Hsf,7.708246487,7.47196316,7.51964487,7.04942656,7.183819696,6.93542811
Hsp23,11.54720483,11.73591285,11.84973935,7.796703646,7.927702124,8.109458374
Hsp26,11.06261152,11.28627393,11.47129666,7.125795827,7.713027884,8.072114369
Hsp27,10.71919936,10.53443823,10.61894146,7.137735674,6.86293337,7.174219818
Hsp67Ba,9.514059399,9.382832356,9.106549426,6.115043156,6.135084516,6.252537181
Hsp67Bb,0.214831388,0.398839565,0.075540634,0,0,0
Hsp67Bc,12.64617055,12.93708662,13.013117,4.723331466,4.994895508,5.021226029
Hsp68,7.036912151,6.623362496,6.865780575,5.554576387,5.652227734,6.048994489
Hsp83,12.34793753,12.26647638,12.2350899,11.29248602,11.40321013,11.3342265
Hsromega,12.79063367,12.77968782,12.57967729,13.91610589,13.90508708,13.7333113
hth,10.96542132,11.18841022,10.9142859,10.57278017,10.71924836,10.69222829
Ide,7.922764222,7.922693599,8.061189909,7.694500328,7.850440508,7.855634297
Idh,8.465482581,8.623507802,8.673704101,6.619540634,6.764309743,6.684726476
if,0.089806327,0.460843657,0.809481815,0.130597294,0.792853288,0.135347252
ImpE1,3.244583352,2.811788112,3.091838325,0.099039483,1.757286554,0.553062079
ImpE2,2.117635196,1.906976767,1.471938095,0,0,0
ImpE3,0.850272436,0.081202514,0.516062327,0.774503582,0.687432158,0.503875743
ImpL1,1.533416609,1.993428657,0.516062327,0,0,0
ImpL2,2.200607677,3.730605605,2.822609948,1.384434689,2.871408236,1.830776958
ImpL3,0.174348395,1.030117199,0.620641262,2.634843349,0.35014255,0.553062079
in,0,1.203350074,0,0.130597294,0.085481031,0.069260254
inaD,0.503325831,0.988623391,1.355534777,0,0,0.797161305
inv,0.401779573,0,0.895375166,0.130597294,0.085481031,0.135347252
ix,3.72631921,3.902437154,4.232137679,3.546302686,3.399579709,3.795433142
janA,7.13444389,7.425829644,7.449056948,4.923521725,4.872470097,5.060025901
janB,0.045601845,0.158077041,0.075540634,0,0,0
Jon44E,0,0.334050524,0,0,0,1.188174903
Jra,5.277901836,5.378078617,5.429308887,5.324068455,5.217137087,5.271336436
kar,3.017408402,2.312116942,1.605362592,3.886127338,3.511919468,4.041476251
kay,5.151951792,4.709142393,5.041373205,5.775283296,5.582265812,6.040935224
kel,6.729826027,6.032784998,5.929264752,3.693554158,5.029010957,5.075889521
Khc,7.35734783,6.773689465,6.76598852,6.375098451,6.202404743,6.445608623
kkv,1.699531977,0.833207966,0.343441058,2.194305663,0,0.035045714
kl-2,0.089806327,0,0,0,0,0
klar,6.507516495,6.854591222,6.691410355,6.638872513,6.66540363,6.899627884
kn,9.960108637,9.287003327,9.402052137,8.759321843,8.71231792,9.106393663
kni,0,0,0.147321929,0,0,0.035045714
knk,0.132696544,0.120151752,0,0,0.126394328,0
knrl,0.366277874,0.120151752,0.280984078,0,0.24260175,0
kto,3.958609326,2.6876315,3.57439664,3.215732803,3.009040512,3.407952505
Kr,3.153798654,3.021769774,3.279240535,2.133300397,2.986994398,3.440992657
kz,1.565076965,2.522998593,2.150681236,3.369126446,1.005172941,0.373031704
l(1)1Bi,4.329670702,3.588546232,3.606586242,3.311777775,2.321413144,3.07904598
egh,7.199561136,7.592200129,7.39202247,7.26649407,7.313212652,7.338849678
l(1)10Bb,5.753695844,5.896400129,5.8002127,5.052687202,5.529858456,5.514227252
Hlc,5.891188486,5.999225573,6.027645859,6.219624549,5.917046478,6.154352465
Grip91,4.311119041,4.333761379,4.481626426,5.628278186,5.882383514,5.414617733
dlg1,8.353933604,8.405952812,8.395572744,7.931029085,7.773240827,7.861442584
ifc,5.054939974,5.242335795,5.293532575,4.950296547,5.151756,5.605216655
eIF-4a,9.85517116,10.00439331,9.976753081,9.387115042,9.466075836,9.441447276
Arpc1,7.244555536,7.058535663,7.130520407,6.972057654,6.926212072,7.035897361
Sos,6.750197051,6.173095985,6.696653521,8.128091832,7.969585516,7.822793901
Pgant35A,3.401885559,2.799842368,3.21387608,1.81179629,1.676941004,1.694935995
l(2)35Bd,6.151209232,6.201749769,6.433260585,5.00453071,4.87397249,4.646642161
CIAPIN1,5.90903195,5.962859451,6.1915348,4.48625017,4.648514683,4.457769124
stc,4.470074614,3.764805885,4.147149395,4.501417132,3.965269873,4.602056309
esg,1.308726695,1.624980653,1.414910112,0,0.043373527,0
wor,0,0,0.075540634,0.066775902,0,0
l(2)35Df,5.096157164,4.627012934,4.983715633,3.785636782,4.099755227,4.757026245
Gli,0.535646052,0.659006168,0.215700384,0.360915446,0.384278962,0.069260254
ND-B17,6.608302973,6.712082162,6.732831642,7.3806011,7.341723364,7.40082836
